Plugin ID,CVE,CVSS v3.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
196123,CVE-2024-1234,9.8,Critical,10.0.0.15,tcp,445,MS17-010 EternalBlue SMB RCE,Remote code execution vulnerability in SMBv1,"A critical remote code execution vulnerability exists in the way that the Microsoft Server Message Block 1.0 (SMBv1) server handles certain requests. An attacker who successfully exploited the vulnerability could gain the ability to execute code on the target server.","Apply Microsoft patch MS17-010 immediately. Disable SMBv1 if not required.",https://docs.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-010,Plugin output details here
196124,CVE-2024-5678,8.8,High,10.0.0.22,tcp,3389,RDP BlueKeep Vulnerability,Remote Desktop Services RCE,"A remote code execution vulnerability exists in Remote Desktop Services when an unauthenticated attacker connects to the target system using RDP and sends specially crafted requests.","Apply Windows security update KB4499175.",https://portal.msrc.microsoft.com/en-US/security-guidance/advisory/CVE-2019-0708,Plugin output details here
196125,CVE-2024-9101,7.5,High,10.0.0.33,tcp,443,Apache Log4j RCE (Log4Shell),JNDI injection vulnerability in Apache Log4j,"Apache Log4j2 <=2.14.1 JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints.","Upgrade to Log4j 2.17.1 or later. Apply vendor patches.",https://logging.apache.org/log4j/2.x/security.html,Plugin output details here
196126,CVE-2024-1122,6.5,Medium,10.0.0.44,tcp,80,Apache HTTP Server mod_status Information Disclosure,Sensitive information exposed via server-status page,"The remote Apache HTTP server has mod_status enabled. This module provides information about server activity and performance which may be leveraged by an attacker.","Restrict access to /server-status to trusted hosts only. Disable mod_status if not required.",https://httpd.apache.org/docs/current/mod/mod_status.html,Plugin output details here
196127,CVE-2024-3344,5.3,Medium,10.0.0.55,tcp,22,OpenSSH Username Enumeration,SSH user enumeration via timing attack,"OpenSSH through 7.7 is prone to a user enumeration vulnerability due to not delaying bailout for an invalid authenticating user until after the packet containing the request has been fully parsed.","Upgrade OpenSSH to 7.8 or later.",https://www.openssh.com/txt/release-7.8,Plugin output details here
196128,CVE-2024-6677,4.3,Medium,10.0.0.66,tcp,443,TLS/SSL Certificate Expired,SSL certificate has expired,"The SSL certificate on this service has expired. This may cause clients to reject the connection or display security warnings, and indicates a lapse in certificate lifecycle management.","Renew the SSL certificate immediately.",https://tools.ietf.org/html/rfc5280,Plugin output details here
196129,CVE-2024-7890,3.7,Low,10.0.0.77,tcp,161,SNMP Default Community String,SNMP service using default community strings,"The remote host is running an SNMP daemon that uses default community strings (public/private). These well-known strings may allow an attacker to gain information about the remote host.","Disable SNMP or change community strings to complex values. Use SNMPv3 with authentication.",https://tools.ietf.org/html/rfc3414,Plugin output details here
196130,CVE-2024-8901,9.1,Critical,10.0.0.88,tcp,8080,Apache Tomcat AJP File Inclusion (Ghostcat),AJP connector exposes internal files,"When using the Apache JServ Protocol (AJP), care must be taken when trusting incoming connections to Apache Tomcat. An attacker can read web application files from a server exposing an AJP port.","Upgrade to Tomcat 9.0.31, 8.5.51, or 7.0.100. Disable AJP connector if not needed.",https://tomcat.apache.org/security-9.html,Plugin output details here
196131,,2.1,Low,10.0.0.99,tcp,23,Telnet Service Detected,Unencrypted remote access protocol detected,"The remote host is running a Telnet service. Telnet transmits data in cleartext including credentials. This represents a significant security risk on any network.","Disable Telnet. Use SSH for encrypted remote access.",https://tools.ietf.org/html/rfc854,Plugin output details here
196132,CVE-2024-2233,7.2,High,10.0.0.15,tcp,3306,MySQL Unpatched Version,MySQL server running outdated version with known vulnerabilities,"The version of MySQL running on the remote host has known security vulnerabilities that could allow an attacker to cause a denial of service, bypass authentication, or execute arbitrary code.","Upgrade MySQL to the latest stable release.",https://dev.mysql.com/doc/relnotes/mysql/8.0/en/,Plugin output details here
196133,CVE-2024-4455,8.1,High,10.0.0.22,tcp,445,Windows Print Spooler RCE (PrintNightmare),Print spooler service allows privilege escalation,"Windows Print Spooler service improperly performs privileged file operations. An authenticated attacker could exploit this to perform arbitrary code execution with SYSTEM privileges.","Apply KB5005010. Disable Print Spooler on systems that do not require it.",https://msrc.microsoft.com/update-guide/vulnerability/CVE-2021-34527,Plugin output details here
196134,CVE-2024-5566,6.8,Medium,10.0.0.33,tcp,443,SSL/TLS Weak Cipher Suites,Server supports weak cryptographic algorithms,"The remote host supports the use of weak SSL/TLS cipher suites. An attacker may be able to intercept or modify data in transit using these weak ciphers.","Reconfigure the SSL/TLS service to disable weak cipher suites. Enforce TLS 1.2 or higher.",https://tools.ietf.org/html/rfc7525,Plugin output details here
